"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11016A010",-0.388104630303771,12256,7
"11016A021",-0.236322746329245,10664,6
"11016A042",-0.224962006666597,10536,6
"11016A052",-0.635668477956163,14602,8
"11016A091",-0.705057109641425,15164,9
"11016A101",-0.526976932930024,13624,8
"11016A112",-0.601235532944883,14296,8
"11016A180",-0.339428694605415,11730,7
"11016A191",-0.130791852542211,9551,6
"11016A1AJ",-0.182339312012422,10082,6
"11016A200",-0.506928677106201,13423,8
"11016A262",-0.538625535068413,13741,8
"11016A273",-1.35398673670915,17959,10
"11016A281",-0.484882800399385,13238,8
"11016A291",-0.324824140373694,11571,7
"11016A300",-0.535247151279504,13702,8
"11016A391",-0.117826357167309,9419,6
"11016A3AJ",-0.128576105356896,9525,6
"11016A401",0.0565115436884311,7630,5
"11016A412",0.115745469470835,7079,4
"11016A501",-0.88652810827873,16412,9
"11016A592",-0.142186171755711,9666,6
"11016A60-",-0.65993129994004,14816,9
"11016A691",-0.315868428913028,11477,7
"11018A000",-0.174988232137397,9994,6
"11018A010",-0.317343081542354,11496,7
"11018A021",0.27163302740551,5736,4
"11018A030",-0.525005606763465,13599,8
"11018A042",0.644875980590835,3231,2
"11018A054",-0.396975500128813,12341,7
"11018A090",-1.63397963537374,18210,10
"11018A101",0.530884465709983,3881,3
"11018A111",0.355982734950932,5052,3
"11018A122",0.0807573508224184,7400,5
"11018A132",-1.35318472934053,17957,10
"11018A143",0.0797555563348335,7406,5
"11021A00-",-0.522186786147033,13574,8
"11021A01-",-1.29186982785247,17851,10
"11021A02-",-0.765880817684912,15645,9
"11021A03-",-0.966341541569423,16808,10
"11021A04-",-1.18926826117236,17626,10
"11021A052",-1.33062821374259,17919,10
"11021A062",-1.3323225667775,17923,10
"11021A19-",-0.894816365766134,16461,10
"11022A001",-0.370883097054008,12082,7
"11022A012",-1.24938796399912,17767,10
"11022A02-",-0.889991951251316,16438,9
"11022A032",-0.525035545222806,13601,8
"11022A080",-1.13804541878406,17472,10
"11022A091",-1.76143975110657,18247,10
"11022A10-",-0.403512335526231,12396,7
"11022A11-",-0.590843133230185,14212,8
"11022A120",-0.751385509319509,15532,9
"11022A132",-1.41232891353003,18042,10
"11022A181",-0.350449894481263,11852,7
"11022A19-",-1.37314847086808,17990,10
"11022A201",-0.509930340080335,13455,8
"11022A21-",-0.97237834155048,16832,10
"11022A22-",-0.846908883165454,16198,9
"11022A232",-0.657799519175812,14793,9
"11022A28-",-1.2563081819477,17788,10
"11022A2AA",-0.546495198343182,13818,8
"11022A2MA",-0.684108988178921,15008,9
"11022A30-",-0.355525225155944,11906,7
"11022A31-",-0.432812342325506,12674,7
"11022A322",-1.04093071003418,17126,10
"11022A382",-1.29724992268929,17862,10
"11022A39-",-0.57563043884535,14057,8
"11022A401",-0.327867021201731,11603,7
"11022A412",-0.551943459773987,13860,8
"11022A423",-0.667316932786851,14876,9
"11022A48-",-0.83334602614336,16130,9
"11022A49-",-0.351001695055249,11860,7
"11022A50-",-0.504943389734734,13401,8
"11022A582",-0.571629802432244,14026,8
"11022A682",-0.611764078568728,14389,8
"11022A692",-0.240497257959963,10716,6
"11023A00-",-0.00142111944523547,8188,5
"11023A01-",-0.600471954753338,14286,8
"11023A02-",-0.603845145919805,14321,8
"11023A03-",-0.207585006829848,10349,6
"11023A04-",0.14757668061984,6780,4
"11023A050",-0.695423874102911,15098,9
"11023A062",-1.34641467668425,17951,10
"11023A08-",-0.737515972340323,15420,9
"11023A091",0.994964834669001,1700,1
"11023A10-",-0.414579657720204,12506,7
"11023A11-",0.139884104925526,6850,4
"11023A122",-1.22008658863522,17694,10
